"test_id","exam_version","generation_batch_id","target_score_band","question_id","section","module","route","question_number","content_domain","skill_group","skill_code","skill_label","question_topic","difficulty","scoring_weight","question_type","passage","question","choice_a","choice_b","choice_c","choice_d","correct_answer","correct_choice_index","explanation","time_estimate_sec","visual_type","visual_json","table_markdown","equation_latex","student_response_type","correct_numeric_answer","answer_tolerance","primary_skill","secondary_skill","tags"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q01","RW","1","base","1","Craft and Structure","Words in Context","RW.WIC","Words in Context","contextual vocabulary meaning","Easy","1","multiple_choice","For five summers, volunteers at a coastal wetland counted the same groups of marsh sparrows every week. The project began as a short survey, but the organizers sustained it by training new volunteers before older ones left and by keeping the counting routes unchanged. They also stored field notes in a shared archive rather than in personal notebooks. As a result, the records did not end when the original team graduated from college. The continuity allowed biologists to compare bird activity across unusually dry and unusually wet years.","As used in the text, “sustained” most nearly means","injured","proved","delayed","maintained","D","4","The organizers kept the survey going over multiple summers, so “sustained” means maintained.","70","none","{}","","","","","","Words in Context","Words in Context","passage:R001 arch:RW_WIC_001 sim:rw_words_in_context_cause_effect fp:f7a993dbbf50 wic hard_vocab vocab:HV_001 tier:V3 target:sustain"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q02","RW","1","base","2","Craft and Structure","Words in Context","RW.WIC","Words in Context","contextual vocabulary meaning","Easy","1","multiple_choice","When cartographer Lena Ortiz compared old harbor drawings with recent satellite images, she noticed that the sandbar had not truly shifted as much as the drawings suggested. The older maps used a different scale, placed the lighthouse too far inland, and compressed the distance between two piers. Those choices rendered the channel narrower than it was, creating an impression of dramatic change where only a modest change had occurred. Ortiz concluded that some apparent shoreline movement reflected mapping conventions rather than erosion.","Which choice best states the meaning of “rendered” as used in the text?","painted","translated","made","paid","C","3","The maps' scale and placement made the channel appear narrower; “rendered” means made.","70","none","{}","","","","","","Words in Context","Words in Context","passage:R002 arch:RW_WIC_002 sim:rw_words_in_context_purpose_sentence fp:8c3d235f4fea wic hard_vocab vocab:HV_002 tier:V3 target:render"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q03","RW","1","base","3","Craft and Structure","Words in Context","RW.WIC","Words in Context","word function in claim","Medium","1","multiple_choice","A team studying ceramic bowls from a mountain village found that most bowls shared the same clay mixture, but a few contained minerals from a distant valley. The researchers describe their conclusion as modest: the evidence suggests occasional exchange with neighboring communities, not a permanent trade network or migration. That wording matters because the sample includes only thirty-eight bowls from one storage room, and none of the bowls can be dated to a precise year. The evidence points to contact, but not to its scale.","Which choice best describes the function of “modest” in the passage?","It limits the strength of the researchers’ conclusion to fit the available evidence.","It suggests that the bowls were plain rather than decorated.","It emphasizes that the distant valley was economically unimportant.","It indicates that the researchers rejected all explanations involving exchange.","A","1","The word “modest” signals that the researchers are making a limited claim because the sample is small.","70","none","{}","","","","","","Words in Context","Words in Context","passage:R003 arch:RW_WIC_003 sim:rw_words_in_context_word_function fp:6a7d7aed3f20 wic hard_vocab vocab:HV_099 tier:V3 target:modest"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q04","RW","1","base","4","Craft and Structure","Text Structure and Purpose","RW.TSP","Text Structure and Purpose","overall structure","Medium","1","multiple_choice","For years, museum labels described a bronze tool as a farming implement because its curved edge resembled a sickle. Recent microscopic analysis complicates that identification. The edge lacks the plant polish usually left by harvesting, but the handle contains traces of mineral pigment. Those traces appear in the small grooves where a user's fingers would have pressed. Conservator Mei Han therefore proposes that the object may have been used to grind colored powders for ritual painting rather than to cut grain.","Which choice best describes the overall structure of the text?","It compares two museums’ methods for displaying the same object and judges one method to be more accurate.","It presents an older classification, introduces new evidence against that classification, and offers a revised interpretation.","It lists several uses for bronze tools and concludes that none can be verified.","It explains how bronze tools were manufactured before describing why few examples survive.","B","2","The text moves from the traditional farming identification to microscopic evidence that challenges it and then to a new interpretation.","70","none","{}","","","","","","Text Structure and Purpose","Text Structure and Purpose","passage:R004 arch:RW_TSP_001 sim:rw_text_structure_and_purpose_purpose_sentence fp:58f7f9ff865c"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q05","RW","1","base","5","Craft and Structure","Text Structure and Purpose","RW.TSP","Text Structure and Purpose","function of sentence","Medium","1","multiple_choice","In the early 1900s, violin maker Sofia Bellini began saving scraps from damaged instruments instead of discarding them. The practice seemed eccentric to some customers, who expected every repair to use new wood. Bellini argued that old wood often matched the density and dryness of an instrument more closely than freshly cut material did. Her repair ledgers show that she sometimes tested several scraps before choosing one. Today, restorers use a similar approach when they choose replacement pieces that will vibrate like the original structure.","What is the main purpose of the sentence “The practice seemed eccentric to some customers, who expected every repair to use new wood”?","To explain why Bellini stopped repairing instruments for customers","To show that Bellini’s method initially conflicted with common expectations","To establish that Bellini’s customers understood acoustics better than she did","To suggest that new wood was unavailable to instrument makers at the time","B","2","The sentence shows that customers expected new wood, so Bellini’s use of scraps seemed unusual.","70","none","{}","","","","","","Text Structure and Purpose","Text Structure and Purpose","passage:R005 arch:RW_TSP_002 sim:rw_text_structure_and_purpose_word_function fp:b3363c221d8b"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q06","RW","1","base","6","Craft and Structure","Text Structure and Purpose","RW.TSP","Text Structure and Purpose","contrast in organization","Medium","1","multiple_choice","Printed trail maps rarely update quickly after storms, so hikers may find that a marked bridge is gone or a path is blocked. Digital maps can be corrected within hours, and users may receive notices about closures before reaching a trailhead. They introduce a different problem, however: they depend on batteries and cellular signals that often fail in remote areas. Many park rangers now recommend carrying both formats, treating each as a safeguard against the other’s weakness.","Which choice best describes the function of the last sentence in the text?","It rejects digital maps because they are less reliable than printed maps in all situations.","It introduces a historical explanation for why hikers began using trail maps.","It gives an example of a storm that damaged a specific park trail.","It draws a practical conclusion from the contrasting strengths and weaknesses discussed earlier.","D","4","The final sentence recommends using both map types because the earlier sentences explain different limitations of each.","70","none","{}","","","","","","Text Structure and Purpose","Text Structure and Purpose","passage:R006 arch:RW_TSP_003 sim:rw_text_structure_and_purpose_revision_goal fp:a26a5218668c"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q07","RW","1","base","7","Craft and Structure","Cross-Text Connections","RW.CTC","Cross-Text Connections","paired text relation","Medium","1","multiple_choice","Text 1: Community seed banks preserve crop varieties that large commercial suppliers often overlook. By storing and sharing locally adapted seeds, these banks help farmers recover after droughts, floods, or market disruptions. They can also keep regional food traditions alive because farmers retain access to beans, grains, and vegetables suited to local soils. In some towns, seed exchanges have become annual gatherings where farmers compare growing conditions. Text 2: Seed banks can be valuable, but they work best when farmers continue planting the stored varieties in fields. Seeds kept only on shelves may remain viable for a time, yet farmers lose practical knowledge about when and where those varieties thrive. Regular planting also reveals whether a variety still resists pests or heat under changing conditions.","Based on the texts, how would the author of Text 2 most likely respond to the claim in Text 1?","By arguing that commercial suppliers are better at preserving locally adapted seeds than community banks are","By agreeing that seed banks are useful while emphasizing that stored seeds should remain connected to active farming practices","By denying that droughts or floods threaten farmers who use locally adapted crops","By claiming that seed banks should focus exclusively on rare ornamental plants rather than crops","B","2","Text 2 accepts the value of seed banks but adds that farmers must keep planting and learning from the varieties.","70","none","{}","","","","","","Cross-Text Connections","Cross-Text Connections","passage:R007 arch:RW_CTC_001 sim:rw_cross_text_connections_word_function fp:f854b06f4295"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q08","RW","1","base","8","Information and Ideas","Central Ideas and Details","RW.CID","Central Ideas and Details","central idea","Easy","1","multiple_choice","In the 1880s, several newspapers praised mechanical typesetting machines as devices that would eliminate the need for skilled compositors. The prediction was only partly right. Operators still had to judge line breaks, correct spacing, and repair jams quickly enough to keep presses on schedule. Some newspapers even created new training routines so workers could learn to monitor the machines while reading proofs. Instead of making skill unnecessary, the new machines shifted skill from arranging individual letters by hand to supervising a faster and more complex process.","Which choice best states the central idea of the text?","Mechanical typesetting was rejected by newspapers because it slowed the printing process.","Skilled compositors prevented newspapers from purchasing mechanical typesetting machines.","Mechanical typesetting changed the kind of expertise printers needed rather than removing the need for expertise.","Mechanical typesetting machines were used mainly to print books rather than newspapers.","C","3","The text explains that the machines did not eliminate skill; they changed where skill was applied.","70","none","{}","","","","","","Central Ideas and Details","Central Ideas and Details","passage:R008 arch:RW_CID_001 sim:rw_central_ideas_and_details_main_claim fp:712ab61087cd"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q09","RW","1","base","9","Information and Ideas","Central Ideas and Details","RW.CID","Central Ideas and Details","supporting detail","Easy","1","multiple_choice","Botanist Amina Patel studied a desert shrub whose leaves fold during the hottest part of the day. At first, Patel assumed that folding reduced water loss by covering the leaf surface. Measurements showed a different benefit: folded leaves reflected more sunlight onto the pale ground beneath the plant, cooling the air around the stem. The effect was small for one leaf but significant across thousands of leaves on a single shrub, especially during cloudless afternoons when reflected light was strongest.","According to the text, what did Patel’s measurements show about the shrub’s folded leaves?","They prevented the plant from producing new leaves during hot weather.","They helped cool the air near the stem by reflecting sunlight toward the ground.","They trapped warm air against the stem throughout the afternoon.","They absorbed more sunlight than unfolded leaves did.","B","2","The passage says the folded leaves reflected sunlight onto the pale ground and cooled the air around the stem.","70","none","{}","","","","","","Central Ideas and Details","Central Ideas and Details","passage:R009 arch:RW_CID_002 sim:rw_central_ideas_and_details_supporting_detail fp:1c94a09ab27b"
"SAT_RW_25","rw_section_v1","batch_25","RW adaptive practice","RW25-M1-Q10","RW","1","base","10","Information and Ideas","Command of Evidence","RW.COE","Command of Evidence","evidence support","Medium","1","multiple_choice","Historian Mateo Rivas argues that a neighborhood orchestra became influential not because it played in elite concert halls but because it performed repeatedly in public squares. He notes that the orchestra’s surviving programs list more outdoor concerts than formal theater appearances. City diaries from the same period mention hearing the group during market days, festivals, and evening walks. Rivas also observes that several later musicians recalled first encountering orchestral music while passing through those crowded public spaces.","Which detail from the text best supports Rivas’s argument?","The orchestra’s surviving programs list more outdoor concerts than formal theater appearances.","The orchestra became influential during the period Rivas studies.","Some city residents kept diaries during the same period.","The orchestra performed music at a variety of events.","A","1","Programs showing more outdoor concerts than theater appearances directly support the claim about public-square influence.","70","none","{}","","","","","","Command of Evidence","Command of Evidence","passage:R010 arch:RW_COE_001 sim:rw_command_of_evidence_supporting_detail fp:7c4e199de243"
