"test_id","exam_version","generation_batch_id","target_score_band","question_id","section","module","route","question_number","content_domain","skill_group","skill_code","skill_label","question_topic","difficulty","scoring_weight","question_type","passage","question","choice_a","choice_b","choice_c","choice_d","correct_answer","correct_choice_index","explanation","time_estimate_sec","visual_type","visual_json","table_markdown","equation_latex","student_response_type","correct_numeric_answer","answer_tolerance","primary_skill","secondary_skill","tags"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q01","RW","1","base","1","Craft and Structure","Words in Context","","Words in Context","Words in Context","","1","multiple_choice","On the basis of extensive calculations and models, astronomers in the 1990s predicted that the collision of two neutron stars or a neutron star and a black hole could release a massive burst of gamma rays in an event called a kilonova. This _____ was confirmed with observations in 2017.","Which choice completes the text with the most logical and precise word or phrase?","theory","evidence","constant","experiment","A","1","Choice A is the best answer because it most logically completes the text’s discussion of a prediction about a kilonova. In this context, a “theory” is an explanation that is considered scientifically acceptable. The text states that astronomers predicted in the 1990s that a collision between a black hole and a neutron star or between two neutron stars could release a massive gamma ray burst called a kilonova, explaining that they determined this possibility based on their extensive work with existing data and simulations (“calculations and models”). In other words, the prediction was a theory—a well-supported explanation—that, as the text indicates, was later confirmed with observations in 2017. Choice B is incorrect because the text indicates that it is the prediction made by astronomers in the 1990s that was confirmed in 2017, and a prediction of an event isn’t “evidence,” or proof, of that event’s existence, even when the prediction is based on extensive study. Further, there would be no need for later confirmation of something that was already recognized as evidence. Choice C is incorrect because in this context, a “constant” is a situation or factor that doesn’t change. The text indicates that it is the prediction made by astronomers in the 1990s that was confirmed in 2017, and there is no reason to describe the prediction as a constant because the text doesn’t suggest that the prediction was completely unchanged over time—it addresses only the making of the prediction and its later confirmation. Choice D is incorrect because the text indicates that it is the prediction made by astronomers in the 1990s that was confirmed in 2017; although a prediction might be informed by an “experiment,” or a controlled test, a prediction is an idea rather than a test.","","none","{}","","","","","","Words in Context","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:4,source_q:1"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q02","RW","1","base","2","Craft and Structure","Words in Context","","Words in Context","Words in Context","","1","multiple_choice","The following text is from John Muir’s 1913 autobiography The Story of My Boyhood and Youth. Muir describes being on a boat.

The water was so <u>clear</u> that it was almost invisible, and when we floated slowly out over the plants and fishes, we seemed to be miraculously sustained in the air while exploring a veritable fairyland.","As used in the text, what does the word “clear” most nearly mean?","Simple","Understandable","Obvious","Transparent","D","4","Choice D is the best answer because as used in the text, “clear” most nearly means transparent, or see-through. Muir states that the water beneath the boat “was so clear that it was almost invisible,” suggesting that those on the boat were able to see through the water and easily observe plants and fish below the surface. Choice A is incorrect. In some contexts “clear” can mean “simple,” or uncomplicated, but Muir is describing the water, and water isn’t typically described as either simple or complicated. Muir emphasizes the water’s transparency, not its simplicity. Choice B is incorrect. In some contexts “clear” can mean “understandable,” or reasonable or easily comprehended, but Muir is describing the water, and it doesn’t make much sense to describe water as understandable. Muir emphasizes the water’s transparency, not how easily the water can be understood. Choice C is incorrect. Although “clear” can mean “obvious,” or easily seen or understood, in some contexts, Muir’s description emphasizes that the water “was almost invisible” and that the boat seemed to be “sustained in the air,” suggesting that the water was almost impossible to see, not that it was obvious.","","none","{}","","","","","","Words in Context","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:4,source_q:2"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q03","RW","1","base","3","Craft and Structure","Words in Context","","Words in Context","Words in Context","","1","multiple_choice","At the turn of the twentieth century, Black residents of Richmond, Virginia, had few formal options for banking and other financial services. To _____ this situation, Maggie Lena Walker chartered the St. Luke Penny Savings Bank in 1903. The bank went on to provide home loans and savings opportunities to thousands of Black families over the following decades.","Which choice completes the text with the most logical and precise word or phrase?","prolong","rectify","retain","highlight","B","2","Choice B is the best answer because it most logically completes the text’s discussion of how Maggie Lena Walker addressed the lack of financial services available to Black residents in Richmond, Virginia, at the turn of the twentieth century. In this context, “rectify” means to correct or remedy something undesirable. The text indicates that by chartering the St. Luke Penny Savings Bank in 1903, Walker took action to provide local Black residents with greater access to financial services like home loans and savings opportunities. This context supports the idea that she aimed to rectify the undesirable situation affecting these residents. Choice A is incorrect because in this context, “prolong” would mean to lengthen something in time. The text indicates that at the turn of the twentieth century, Black residents in Richmond, Virginia, were faced with a lack of formal banking options. The text then states that Walker founded a new bank that provided these residents with financial services. Therefore, instead of prolonging the situation, she took steps to rectify, or correct, it. Choice C is incorrect because in this context, “retain” would mean to continue to have or to keep something. According to the text, at the turn of the twentieth century, Black residents in Richmond, Virginia, had few formal banking options, and Walker chartered a new institution to provide these residents with expanded financial services; therefore, she took steps to rectify, not retain, the situation. Choice D is incorrect because in this context, “highlight” would mean to emphasize or call attention to something, but the text indicates that Walker took concrete steps beyond merely drawing attention to the situation Black residents were facing in Richmond, Virginia, at the turn of the twentieth century. According to the text, Walker worked to rectify, or correct, the lack of formal banking options that were available to these residents by establishing a bank that provided them with home loans and savings opportunities.","","none","{}","","","","","","Words in Context","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:5,source_q:3"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q04","RW","1","base","4","Craft and Structure","Words in Context","","Words in Context","Words in Context","","1","multiple_choice","The results of randomized clinical trials testing the efficacy of common medical interventions sometimes fail to _____ conclusions that practitioners reach based on their real-world observations of patients. While there are several possible reasons for this, one is that practitioners may overlook confounding variables that account for the results they attribute to the interventions in question.","Which choice completes the text with the most logical and precise word or phrase?","circumvent","corroborate","disseminate","implement","B","2","Choice B is the best answer because it most logically completes the text’s discussion of a relationship between the results of randomized clinical tests of how effective common medical interventions are and the conclusions practitioners reach about such interventions in real-world settings. In this context, “corroborate” means confirm or support with evidence. The text indicates that one possible explanation for the relationship being discussed is that practitioners may overlook confounding variables—that is, additional factors other than the medical interventions being investigated that affect the observed outcomes. This means that practitioners may assume that an outcome is the direct result of a medical intervention when it is actually the result of a combination of factors. Clinical trials take steps to rule out factors other than the one being studied, so if those extra factors are actually having an effect on real-world outcomes, the trials are likely to produce conclusions different from those practitioners reach in their real-world observations. In other words, clinical trials may fail to corroborate practitioners’ conclusions. Choice A is incorrect because it wouldn’t make sense to say that the results of clinical trials could “circumvent,” or find a way around or bypass, conclusions practitioners reach in real-world scenarios with patients; it’s possible that researchers conducting the trials might avoid engaging with practitioners’ conclusions, but findings from a study can’t choose to get around something. Choice C is incorrect because it wouldn’t make sense to say that the results of clinical trials could “disseminate,” or spread widely, conclusions practitioners reach in real-world scenarios with patients; the researchers conducting the trials might choose to draw attention to practitioners’ conclusions, but findings from a study can’t spread anything. Choice D is incorrect because it wouldn’t make sense to say that the results of clinical trials could “implement,” or put into effect, conclusions practitioners reach in real-world scenarios with patients; the researchers conducting the trials might consider practitioners’ conclusions, but findings from a study can’t put anything into effect.","","none","{}","","","","","","Words in Context","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:5,source_q:4"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q05","RW","1","base","5","Craft and Structure","Words in Context","","Words in Context","Words in Context","","1","multiple_choice","Diadromous fish migrate between freshwater and marine biomes during their life cycle. The migration’s obligate nature is why diadromous fish can be _____ those that are merely euryhaline (able to tolerate high salinity): the euryhaline blackchin tilapia can survive high salinity, but its life cycle does not involve relocation to a different biome, as does that of the diadromous wild salmon.","Which choice completes the text with the most logical and precise word or phrase?","demarcated from","reconstituted as","conflated with","derived from","A","1","Choice A is the best answer because it most logically completes the text’s discussion of diadromous fish. In this context, “demarcated from” means separate or set apart from. The text indicates that diadromous fish differ from euryhaline fish in that diadromous fish “migrate between freshwater and marine biomes during their life,” whereas euryhaline fish do not relocate to a different biome because they can tolerate higher salinity environments. Therefore, this context suggests that because of differences between their migration patterns, diadromous fish are distinct and can be demarcated from euryhaline fish. Choice B is incorrect. Although the text states that diadromous fish migrate and relocate, the text does not suggest that diadromous fish would be “reconstituted as,” or formed again as, anything new. Only their environments change and not the fish themselves. Choice C is incorrect because the text does not suggest that diadromous fish can be “conflated with,” or combined with, euryhaline fish. Instead, the text distinguishes the two types of fish by pointing out their differences with regard to migration and tolerance for salinity. Choice D is incorrect because the text indicates that based on migration habits and tolerance for salinity, diadromous fish are different from euryhaline fish; so it would not make logical sense to say that diadromous fish would be “derived from,” or be an extension of or result from, euryhaline fish.","","none","{}","","","","","","Words in Context","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:5,source_q:5"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q06","RW","1","base","6","Craft and Structure","Text Structure and Purpose","","Text Structure and Purpose","Text Structure and Purpose","","1","multiple_choice","The following text is from Joan Didion’s memoir The Year of Magical Thinking. In the text, the author discusses her home life.

[I]n California we heated our houses by building fires. We built fires even on summer evenings, because the fog came in. <u>Fires said we were home, we had drawn the circle, we were safe through the night.</u>","Which choice best describes the function of the underlined portion in the text as a whole?","It illustrates that a fire provides comfort beyond physical warmth.","It summarizes the information that came before it in the text.","It explains that the house remains cold even in summer.","It suggests that the author feels comfortable in her home with or without a fire.","A","1","Choice A is the best answer because it most accurately describes how the underlined portion functions in the text as a whole. The first two sentences of the text establish that in California, houses were heated by building fires year-round. The underlined portion then indicates that the fires didn’t merely provide physical warmth: they also represented being “home” and feeling protected. The underlined portion thus illustrates that a fire provides comfort beyond physical warmth. Choice B is incorrect because the underlined portion doesn’t summarize information that came before it. Whereas the previous two sentences describe fires’ ability to provide physical warmth to homes, the underlined portion focuses on the psychological comfort the fires offered. Choice C is incorrect. Although the text’s second sentence mentions that fires were built in the summer because fog came in, which may have cooled the house, this detail isn’t the focus of the underlined portion. Instead, the underlined portion indicates that fires were built for reasons beyond physical warmth: to create a sense of being home and safe. Choice D is incorrect because the underlined portion focuses on the emotional significance the author places on having a fire going inside the home. There is no indication that the author feels equally comfortable without a fire present.","","none","{}","","","","","","Text Structure and Purpose","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:5,source_q:6"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q07","RW","1","base","7","Craft and Structure","Text Structure and Purpose","","Text Structure and Purpose","Text Structure and Purpose","","1","multiple_choice","The majority of plastics today wind up in landfills or are, at best, recycled into materials that have a very limited range of applications. To address this problem, chemist Guoliang Liu and colleagues designed a reactor that melts polyethylene and polypropylene—two widely used plastics—into a wax. The wax can then be transformed into a surfactant (<u>a chemical compound usable as a detergent</u>). With this promising new method, plastic waste could be turned into a range of useful cleaning products.","Which choice best states the function of the underlined portion of the text?","It clarifies the meaning of a scientific term.","It describes an environmental concern.","It explains the significance of a scientific discovery.","It identifies a result that confused the team.","A","1","Choice A is the best answer because it most accurately describes how the underlined phrase functions in the text as a whole. The text states that the wax produced by Liu and colleagues’ reactor can be turned into a surfactant. The underlined phrase, which is set off with parentheses, then provides a definition for the term “surfactant,” explaining that it’s a chemical compound that can be used as a detergent. Thus, the underlined portion of the text functions to clarify the meaning of a scientific term. Choice B is incorrect. Though the text as a whole focuses broadly on an environmental concern, the underlined phrase does not; it simply indicates what a surfactant is. Choice C is incorrect. Though the text as a whole focuses on a scientific discovery (Liu and colleagues’ solution to the problem of plastic recycling), the underlined phrase does not explain its significance; it simply defines a scientific term used in the discussion. Choice D is incorrect. Though the text as a whole includes discussion of the result found by Liu and colleagues, the underlined phrase does not discuss it; it simply defines a scientific term used in the discussion. Additionally, at no point in the text is it mentioned that the team was confused.","","none","{}","","","","","","Text Structure and Purpose","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:6,source_q:7"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q08","RW","1","base","8","Information and Ideas","Central Ideas and Details","","Central Ideas and Details","Central Ideas and Details","","1","multiple_choice","In 2018, scientists discovered an immense aggregation of Muusoctopus robustus (pearl octopuses) along a hydrothermal vent 3,200 meters beneath the ocean’s surface. Water temperatures at this site—named the Octopus Garden—climb as high as 11°C, much warmer than the ambient 1.6°C typical at this depth. Based on observations made over three years, scientists concluded that temperatures at the site likely confer reproductive benefits and that the site is used exclusively for reproduction—6,000 M. robustus adults, hatchlings, and eggs were observed at the garden, but no juveniles were present.","Which statement about M. robustus and the Octopus Garden is best supported by the text?","M. robustus leave the Octopus Garden upon reaching an intermediary stage of development.","The M. robustus population at the Octopus Garden remains stable despite variations in water temperature.","M. robustus nests in the Octopus Garden contain on average fewer but larger eggs than nests at similar ocean depths.","The Octopus Garden provides an ideal feeding ground for M. robustus hatchlings.","A","1","Choice A is the best answer because it most logically completes the text’s discussion of the M. robustus population at the Octopus Garden. The text states that the scientists concluded that the site is likely used only for reproduction because over three years they saw many adults, freshly hatched octopuses, and eggs but didn’t see any juveniles. This suggests that the M. robustus octopuses that hatch at the Octopus Garden leave the site when they reach an intermediary state of development, returning only as adults for reproductive purposes. Choice B is incorrect because the text never discusses the stability of the M. robustus population at the site, only that the scientists observed 6,000 adults, hatchlings, and eggs there. Further, the text presents the site’s temperatures as likely beneficial. Choice C is incorrect because the text doesn’t provide any details about the eggs at the site and makes no mention of nests; it indicates only that eggs are present along with hatchlings and adults. Choice D is incorrect because the text makes no mention of the hatchlings feeding at the Octopus Garden, indicating only that the temperatures at the site are probably beneficial and that the site is likely used for reproduction.","","none","{}","","","","","","Central Ideas and Details","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:7,source_q:10"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q09","RW","1","base","9","Information and Ideas","Inferences","","Inferences","Inferences","","1","multiple_choice","The following text is from Thomas Mann’s 1924 novel The Magic Mountain, translated by John E. Woods in 1995.

The story of Hans Castorp that we intend to tell here—not for his sake (for the reader will come to know him as a perfectly ordinary, if engaging young man), but for the sake of the story itself, which seems to us to be very much worth telling (although in Hans Castorp’s favor it should be noted that it is his story, and that not every story happens to everybody)—is a story that took place long ago, and is, so to speak, covered with the patina of history and must necessarily be told with verbs whose tense is that of the deepest past. ©1995 by Alfred A. Knopf, Inc.","What does the text most strongly suggest about the story of Hans Castorp?","Though it is true that stories of even the most uninteresting people are themselves interesting because all people are unique, the reason this story is interesting is nonetheless difficult to understand because of the passage of time.","Even though it is a story of a person of no particular importance, its age and the manner in which it therefore must be told are both indicators that the story itself is important.","Like all stories about the lives of inconsequential people, this story must necessarily be related in a particular way if the reason the story is consequential is to be made evident to the audience.","It is a remarkable story that happened to an unremarkable person, though one could plausibly argue that because the story is valuable, some of its value accrues to the person at its center.","D","4","Choice D is the best answer because it presents a statement about Hans Castorp’s story that is suggested by the text. The narrator of the text indicates that the story about Hans Castorp will be told not because there is something particularly notable about him, since he is pleasant but “perfectly ordinary,” but because the story itself is remarkable (“very much worth telling”). The narrator then notes that there is a benefit in being at the heart of the story—that it is “in Hans Castorp’s favor” that the story is his, and maybe uniquely so (“not every story happens to everybody”). Thus, the text suggests both that the story that will be told is a remarkable one that happened to an unremarkable person and that it is reasonable to argue that the person at the center of a valuable story takes on some of the story’s value. Choice A is incorrect. Although the narrator of the text makes the point that “not every story happens to everybody,” the narrator doesn’t state that stories are interesting simply because the people they are about are unique. Rather, the narrator suggests that one particular story is “very much worth telling” on its own and that Hans Castorp benefits from the fact that the story is remarkable and may be unique to him. Further, the narrator never suggests that the story will be hard to understand even though it is old. Choice B is incorrect. Although the narrator of the text suggests that Hans Castorp is of no particular importance, since he is a “perfectly ordinary” person, the narrator never reveals what makes the story of Castorp important, just that “the story itself” is “very much worth telling.” The narrator states that the story “took place long ago,” is “covered with the patina of history,” and can be told only “with verbs whose tense is that of the deepest past,” but the story’s age and the way it must be told aren’t presented as reasons the story is important; the narrator is simply providing details about how the story will be told. Choice C is incorrect because the narrator of the text doesn’t suggest that all stories about people who are “perfectly ordinary” (like Hans Castorp) must be told in particular ways to make it clear why those stories are consequential. Further, the narrator suggests that Hans Castorp’s story must be told “with verbs whose tense is that of the deepest past” because it took place so long ago, not because telling it that way will convey the story’s importance.","","none","{}","","","","","","Inferences","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:8,source_q:11"
"SAT_PRACTICE_7","pdf_import_v1","import_batch_007","","SAT7_RW_M1_Q10","RW","1","base","10","Information and Ideas","Command of Evidence","","Command of Evidence","Command of Evidence","","1","multiple_choice","Researcher Judith Hilton and her team interviewed 55 people about which factors would make them switch from using single-use plastic containers to reusable containers. The graph shows three of the factors mentioned in the interviews and the percentage of participants who mentioned them.","According to the graph, about what percentage of participants mentioned costs in the interviews?","10%","95%","25%","50%","D","4","Choice D is the best answer because it states the percentage of participants who mentioned costs in the interviews conducted by Judith Hilton and her team. The text states that Hilton and her team interviewed participants about factors that would encourage them to switch from single-use plastic containers to reusable containers. The graph presents three factors mentioned in the interviews (convenience, costs, and established behaviors) and the percentage of participants who mentioned each one. The graph shows that about 50% of participants mentioned costs as a factor. Choice A is incorrect because the graph shows that about 50% of participants, not 10%, mentioned costs as a factor. Choice B is incorrect because the graph shows that about 50% of participants, not 95%, mentioned costs as a factor. Choice C is incorrect because the graph shows that about 50% of participants, not 25%, mentioned costs as a factor.","","bar_graph","{""diagram_type"":""bar_graph"",""render_mode"":""exact_to_scale"",""x_label"":""Factor"",""y_label"":""Percent"",""categories"":[""convenience"",""costs"",""established behaviors""],""values"":[68,50,74],""y_min"":0,""y_max"":80,""grid"":true,""target"":""Percentage of Participants Who Mentioned Factors — costs""}","","","","","","Command of Evidence","","import,pdf,section:RW,source:sat-practice-test-7-digital.pdf,page:8,source_q:12"
