"test_id","exam_version","generation_batch_id","target_score_band","question_id","section","module","route","question_number","content_domain","skill_group","skill_code","skill_label","question_topic","difficulty","scoring_weight","question_type","passage","question","choice_a","choice_b","choice_c","choice_d","correct_answer","correct_choice_index","explanation","time_estimate_sec","visual_type","visual_json","table_markdown","equation_latex","student_response_type","correct_numeric_answer","answer_tolerance","primary_skill","secondary_skill","tags"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q01","RW","1","base","1","Craft and Structure","Words in Context","RW_WIC","Words in Context","Words in Context","","1","multiple_choice","Ezra Pound’s poetry can be hard to ________ : it is dense, experimental, and so full of references and allusions that many readers have a difficult time even identifying the poems’ subjects.","Which choice completes the text with the most logical and precise word or phrase?","comprehend","dislike","interrupt","overlook","A","1","Choice A is the best answer because it most logically completes the text’s discussion of Ezra Pound’s poetry. In this context, “comprehend” would mean to understand or grasp the meaning of something. The text describes Pound’s poetry as “dense” and “experimental,” with many references that readers may not understand. The text also states that many readers may not even be able to identify a poem’s subject. This context clearly suggests that readers struggle to understand Pound’s poetry as a result of its complexity and obscure references.

Choice B is incorrect. To say that Pound’s poetry is “hard to dislike” would suggest that people generally like it, but the text doesn’t focus on how likeable or enjoyable the poems are; rather, it focuses on how challenging many readers find it to understand them. Choice C is incorrect. To say that Pound’s poetry is “hard to interrupt” would mean that it is hard to stop or break into it while it’s being read or recited, but the text doesn’t discuss any such breaks; instead, the text focuses on the challenge of understanding the content of Pound’s poems. Choice D is incorrect. In this context, “overlook” would mean look past or fail to notice, so to say that Pound’s poetry is “hard to overlook” would mean that it is very likely to be noticed. The text focuses on the difficulty people have in understanding Pound’s poems when reading them, not how noticeable his poetry is in the first place.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:4;source_question:1;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q02","RW","1","base","2","Craft and Structure","Words in Context","RW_WIC","Words in Context","Words in Context","","1","multiple_choice","The unique subak water management system used to irrigate the rice paddy fields of the Indonesian island of Bali has a rich cultural, philosophical, and historical significance dating back to the ninth century. The many elements of subak—terraces, canals, and water temples—are ________ : they are joined together into a single cohesive unit.","Which choice completes the text with the most logical and precise word or phrase?","outmoded","informal","interconnected","optional","C","3","Choice C is the best answer because it most logically completes the text’s discussion of Bali’s subak water management system. In this context, “interconnected” would mean joined or linked together. The text describes the various components of the subak system—“terraces, canals, and water temples”—and then states that they are “joined together into a single cohesive unit.” This context indicates that these elements are connected with one another in an integrated system.

Choice A is incorrect because “outmoded” would mean outdated or no longer in use. While the text does indicate that the subak system has “rich cultural, philosophical, and historical significance,” the text doesn’t suggest that the subak system is obsolete or not currently used. Choice B is incorrect because “informal” would suggest that the subak system lacks structure or organization. The text contradicts this by describing a complex system with specific components (“terraces, canals, and water temples”) that are “joined together into a single cohesive unit,” indicating formal organization rather than informality. Choice D is incorrect because “optional” would suggest that the various elements of the subak system are not necessary or required. The text indicates the opposite by stating that these elements are “joined together into a single cohesive unit,” suggesting that each component plays a necessary role in the functioning of the integrated system.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:4;source_question:2;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q03","RW","1","base","3","Craft and Structure","Words in Context","RW_WIC","Words in Context","Words in Context","","1","multiple_choice","Although the government of the Soviet Union attempted to ________ Georgi Vladimov’s novel Faithful Ruslan, copies of the book circulated in secret among readers in several parts of the country.","Which choice completes the text with the most logical and precise word or phrase?","replicate","critique","import","suppress","D","4","Choice D is the best answer because it most logically completes the text’s discussion of Georgi Vladimov’s novel Faithful Ruslan. In this context, “suppress” means to prevent something, such as a book, from being accessed by the public. The text indicates that the novel was circulated secretly within the Soviet Union, a stratagem that was necessary because of the government’s efforts to suppress the book, or prevent it from being circulated and read.

Choice A is incorrect because in this context, “replicate” would mean to copy or reproduce a book, and this meaning wouldn’t make sense in the text’s discussion of Faithful Ruslan. If the Soviet government had attempted to replicate Vladimov’s novel, there would be no reason for copies to circulate “in secret,” since the government would be actively making more copies available, not restricting access. Choice B is incorrect. Although a repressive government might well “critique” a novel, or evaluate it negatively, simply critiquing one wouldn’t necessarily lead to copies of it circulating “in secret.” Instead, the text suggests that the Soviet government took decisive action against Faithful Ruslan that necessitated its underground circulation and did not merely offer criticism of the novel. Choice C is incorrect because “import” means to bring a product, such as a book, into a country from elsewhere. However, the text suggests that copies of Faithful Ruslan were already present in the Soviet Union and that the government was trying to restrict their circulation rather than increasing access to the novel by importing copies from another country.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:5;source_question:3;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q04","RW","1","base","4","Craft and Structure","Words in Context","RW_WIC","Words in Context","Words in Context","","1","multiple_choice","Scholars long thought that the initial spread of silk beyond China occurred in the second century CE, but this view has been ________ by new archaeological evidence from South Asia that reveals that the people of the Indus Civilization made use of silk at least 1,000 years earlier.","Which choice completes the text with the most logical and precise word or phrase?","investigated","misinterpreted","anticipated","contradicted","D","4","Choice D is the best answer because it most logically completes the text’s discussion of the initial spread of silk beyond China. In this context, “contradicted” means opposed or challenged. The text indicates that new archaeological evidence about silk use in South Asia has done something to a long-held thought about the initial spread of silk. According to the text, the new evidence reveals that people used silk in South Asia 1,000 years before the second century CE, which directly challenges the previous belief that silk first spread beyond China in the second century CE.

Choice A is incorrect because the text indicates that an archaeological finding about silk use has done something to a long-held thought about the initial spread of silk, and it wouldn’t make sense to suggest that the finding could have “investigated,” or examined, a belief; evidence can’t examine anything. Choice B is incorrect because the text indicates that an archaeological finding about silk use has done something to a long-held thought about the initial spread of silk, and it wouldn’t make sense to suggest that the finding could have “misinterpreted,” or incorrectly understood, a belief; evidence can’t try to understand anything. Choice C is incorrect. In this context, “anticipated” would mean expected or predicted. The text indicates that a new archaeological finding about silk use has done something to a long-held thought about the initial spread of silk, and a new finding can’t predict a belief that is already established.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:5;source_question:4;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q05","RW","1","base","5","Craft and Structure","Words in Context","RW_WIC","Words in Context","Words in Context","","1","multiple_choice","A casual description of Scherezade García’s 2019 mural Blame It on the Bean: The Power of Coffee can make the work seem ________ —a painting that is housed in a coffee shop and that depicts three women drinking coffee may not sound particularly ambitious—but in fact the work is a complex, dynamic meditation on gender and the legacy of colonialism that demands serious attention.","Which choice completes the text with the most logical and precise word or phrase?","unassuming","shrewd","incongruous","pretentious","A","1","Choice A is the best answer because it most logically completes the text’s discussion of Scherezade García’s mural Blame It on the Bean: The Power of Coffee. In this context, “unassuming” means ordinary or unremarkable. The text draws a contrast between a “casual description” of the mural’s ordinary location (a coffee shop) and subject matter (three women drinking coffee)—details that would make it seem relatively unambitious—and a characterization of the painting as a “dynamic meditation” on gender and colonialism deserving of “serious attention.” This context suggests that the mural has significant depth and complexity, but a superficial description of it might make the mural seem ordinary and unremarkable—that is, unassuming.

Choice B is incorrect because in this context, “shrewd” would mean clever or astute, and there’s nothing in the text to suggest that a casual yet misleading description that only mentions the apparent simplicity of the mural’s location and subject matter would make the mural seem particularly clever or astute. Though it’s possible that the text’s assertion that the mural is a “complex, dynamic meditation” demanding “serious attention” might convey the idea that it’s a particularly clever or astute—that is, shrewd—artwork, the text wouldn’t suggest that a casual description that fails to account for the work’s complexity would likewise characterize the work as shrewd. Choice C is incorrect because in this context, “incongruous” would mean unsuitable for its surroundings or internally inconsistent. The “casual description” presented in the text indicates that the painting is housed in a coffee shop and depicts women drinking coffee, which would imply that the mural may in fact be well suited to its surroundings, not that it’s ill suited to its location. Moreover, none of the details mentioned in this description would suggest that the painting contains internal inconsistencies of any kind. Choice D is incorrect because in this context, “pretentious” would mean expressive of exaggerated importance, which wouldn’t fit the contrast established in the text between a “casual description” of the painting and the work’s deeper themes. Though the text argues that the painting is worthy of “serious attention,” which would suggest its importance, the text doesn’t suggest that the casual description would by contrast imply that the painting’s importance is exaggerated. Rather, by merely mentioning the mural’s relatively ordinary location and subject matter without reference to this complexity, the casual description conveys that the painting is more unassuming and understated than it actually is, not that it expresses an exaggerated self-importance.","","none","{}","","","","","","Words in Context","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:5;source_question:5;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q06","RW","1","base","6","Craft and Structure","Text Structure and Purpose","RW_TSP","Text Structure and Purpose","Text Structure and Purpose","","1","multiple_choice","The following text is adapted from Akwaeke Emezi’s 2019 novel Pet. Jam is a teenager who lives with her father, Aloe, and her mother, Bitter, who is a painter.

Bitter finished the painting in the dark morning of a day—it was well past midnight when Jam heard the studio door creak open. She stared into the velvet black of her room and listened to her mother’s footsteps walking in her [mother] and Aloe’s bedroom. There was a weight thrumming through the floorboards in a low song, and that was how Jam knew the painting was done. __Bitter’s feet were singing the news.__

©2019 by Akwaeke Emezi","Which choice best states the function of the underlined sentence in the text as a whole?","It indicates that Jam is more interested in music than in art.","It adds to the idea that Bitter’s footsteps reveal something to Jam.","It indicates that Bitter always sings when working on a painting.","It describes Aloe’s reaction upon seeing the painting for the first time.","B","2","Choice B is the best answer because it most accurately describes how the underlined sentence functions in the text as a whole. The text establishes that Jam hears Bitter’s studio door open early in the morning, when it is still dark. Jam then listens to her mother’s footsteps, which seem to create a song that runs through the floorboards. The text indicates that the sound of Bitter’s footsteps convey to Jam that Bitter is done painting. The underlined sentence then builds on this idea, stating explicitly that Bitter’s feet sing the news of her completion of a painting. Thus, the sentence stating that “Bitter’s feet were singing the news” further emphasizes that Bitter’s footsteps themselves reveal information to Jam.

Choice A is incorrect because the text provides no evidence that Jam prefers music to art. While the underlined sentence uses musical imagery to describe the vibrations Jam feels, this is figurative language that is describing the footsteps’ vibrations; it isn’t an indication of Jam’s personal interests. Choice C is incorrect because the text doesn’t suggest that Bitter herself sings while working on paintings. The references to singing in the text are figurative descriptions of how Bitter’s footsteps sound or feel to Jam, not literal statements about Bitter singing. Choice D is incorrect because the underlined sentence only describes Jam’s perception of her mother’s footsteps. It doesn’t provide any details about Aloe or his reaction to the painting; in fact, the text doesn’t mention Aloe seeing the painting at all.","","none","{}","","","","","","Text Structure and Purpose","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:5;source_question:6;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q07","RW","1","base","7","Craft and Structure","Cross-Text Connections","RW_CTC","Cross-Text Connections","Cross-Text Connections","","1","multiple_choice","Text 1:
Good art often challenges and disrupts social and aesthetic norms, but the creation of public art—paintings, sculptures, and performance pieces displayed in nonmuseum or nontheatrical public settings—typically requires broad agreement among artists, civic officials, and community members about the works’ message and artistic goals. __Public art that fails to appease everyone by being sufficiently aesthetically and conceptually bland almost inevitably provokes backlash.__

Text 2:
Public art is commonly displayed in spaces intended for purposes other than meaningful aesthetic engagement. Some critics of public art therefore note that norm-defying pieces that aren’t effectively integrated within their surroundings in a manner that primes passersby to appreciate the pieces’ merits (as is often the case) tend to be regarded more unfavorably than similarly provocative art encountered in museums is.","Based on the texts, how would the critics mentioned in Text 2 most likely respond to the underlined claim in Text 1?","By arguing that the reason members of the general public might disagree about a public artwork’s merits is unrelated to the unconventionality of its appearance and ideas","By agreeing with the idea that only works of art that are universally appealing are suitable for displaying in public spaces","By disputing the notion that civic leaders and community members are easily placated by art that is intended mainly to reinforce social norms","By contending that the kinds of reactions controversial public artworks often receive aren’t exclusively the result of attributes inherent in the works themselves","D","4","Choice D is the best answer because the critics mentioned in Text 2 would argue that negative reactions to controversial public art are not solely the result of the nature of the art itself. The claim in Text 1 suggests that public artworks tend to provoke backlash when they are not “aesthetically and conceptually bland.” This implies that the content of public art alone can cause backlash. However, the critics in Text 2 offer a more nuanced explanation. They argue that norm-defying pieces of public art that are not “effectively integrated within their surroundings” are more likely to be judged harshly by the public. They also imply that a museum provides a context that prepares viewers to expect challenging art, while public environments that serve other purposes often do not. This indicates that the critics in Text 2 would contend that factors beyond the attributes of the art, like environment and presentation, play a significant role in how public art is received.

Choice A is incorrect because the critics in Text 2 do not argue that unconventionality is unrelated to public disagreement about a public artwork’s merits. Rather, they acknowledge that norm-defying pieces do face unfavorable reactions, but they attribute such reactions to contextual factors like poor integration with the environment rather than dismissing the role of unconventionality entirely. Choice B is incorrect because the critics in Text 2 do not advocate for restricting public art to universally appealing works. Instead, they argue that better integration with the surroundings and situating the work in appropriate contexts could help norm-defying art be better received by passersby. Choice C is incorrect because the critics in Text 2 do not address whether civic leaders and community members are easily satisfied by norm- reinforcing art. The critics in Text 2 instead argue that installation and integration with the surrounding environment factor into how norm-defying art is received by the general public, rather than disputing how people respond to conventional art.","","none","{}","","","","","","Cross-Text Connections","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:7;source_question:9;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q08","RW","1","base","8","Information and Ideas","Inferences","RW_INF","Inferences","Inferences","","1","multiple_choice","The average age at which people in the United States start businesses is 35. Economist Andrés Hincapié studied why young adults are relatively less likely to start businesses and whether there are ways to increase entrepreneurship in early adulthood. Hincapié found that one impediment is lack of knowledge about the practical details of how businesses are started; he further found that simply providing young adults with good informational resources on the topic significantly alleviates this problem.","Based on the text, what would Hincapié most likely say is a promising way to increase entrepreneurship in early adulthood?","Creating social networks of young adults who are interested in starting a business","Encouraging young adults to brainstorm business ideas","Providing young adults with practical information about how to start a business","Giving young adults training opportunities at a variety of businesses","C","3","Choice C is the best answer because it presents a conclusion about increasing entrepreneurship in early adulthood that can be reasonably inferred from the text. The text explains that Andrés Hincapié investigated why young adults are less likely than older adults to start businesses and found that lack of knowledge of practical aspects of starting a business is a barrier. The text then states that Hincapié found that providing relevant informational resources greatly helps address that problem. Offering young adults practical information about how to start a business would be an example of providing relevant informational resources, so Hincapié would most likely say it is a promising way to increase early adult entrepreneurship.

Choice A is incorrect because creating social networks of young adults interested (but presumably inexperienced) in starting a business wouldn’t involve a clear source of practical information for those young adults, and the text indicates that Hincapié identified offering relevant informational resources about starting a business as a way to significantly reduce the problem of young adults’ low participation in entrepreneurship. Choice B is incorrect because encouraging young people to brainstorm business ideas wouldn’t involve a clear source of

practical information for those young adults, and the text indicates that Hincapié identified offering relevant informational resources about starting a business as a way to significantly reduce the problem of young adults’ low participation in entrepreneurship. Choice D is incorrect because providing young adults with training opportunities at existing businesses would give those young people exposure to businesses that already exist but not necessarily information about how to start a business, and the text indicates that Hincapié identified offering relevant informational resources about starting a business as a way to significantly reduce the problem of young adults’ low participation in entrepreneurship.","","none","{}","","","","","","Inferences","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:7;source_question:10;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q09","RW","1","base","9","Information and Ideas","Central Ideas and Details","RW_CID","Central Ideas and Details","Central Ideas and Details","","1","multiple_choice","Few animals are known to spit: among them are humans, cobras, and camels. But in January 2022 at a nature preserve in southern England, bird-watcher Clare Jacobs observed a gray seal spitting a jet of water at a white-tailed eagle flying overhead. Seals had never been seen spitting before. Biologist Sean Twiss, who studies gray seals, believes that the seal may have been attempting to scare the eagle away from a food source or that the seal may have just been playing.","Which choice best states the main topic of the text?","Bird-watching in southern England","A previously unseen behavior of gray seals","How white-tailed eagles defend their territory against other predators","Differences between gray seals and white-tailed eagles","B","2","Choice B is the best answer because it most accurately states the main topic of the text. The text begins by noting that few animals are known to spit, and then it focuses on Clare Jacobs’s January 2022 observation of a gray seal spitting water at a white-tailed eagle. The text explicitly notes that this behavior had never before been observed in seals, highlighting that this was a previously unseen behavior. The text concludes with biologist Sean Twiss’s hypotheses about why the seal might have been spitting. Thus, the main topic is the observation of a previously unseen behavior (spitting) of gray seals.

Choice A is incorrect because while the text does mention bird-watcher Clare Jacobs making an observation in southern England, bird-watching itself is not the main topic. The reference to bird-watching is incidental to the central focus of the novel behavior of a gray seal spitting water at an eagle. Choice C is incorrect because the text only mentions a white-tailed eagle as the target of a seal’s spitting behavior; it doesn’t provide any information about how these eagles typically behave when defending territory or interacting with other predators. Choice D is incorrect because the text doesn’t discuss differences between gray seals and white-tailed eagles. While both animals are mentioned, the text is focused on the seal’s unusual spitting behavior rather than comparing the two animals in any way.","","none","{}","","","","","","Central Ideas and Details","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:8;source_question:11;selected_from_overflow"
"SAT_PRACTICE_TEST_11","pdf_import_v1","SAT11_Frompdf","","SAT11_RW_M1_Q10","RW","1","base","10","Information and Ideas","Inferences","RW_INF","Inferences","Inferences","","1","multiple_choice","The following text is from Mark Haber’s 2022 novel Saint Sebastian’s Abyss. The narrator and Schmidt are both art critics.

When my first wife admitted to Schmidt over dinner that she didn’t find art, painting in particular, especially compelling, Schmidt winced, set down his fork, and sighed dramatically; he then excused himself, explaining an appointment he’d forgotten about had suddenly and inexplicably been remembered, while making it abundantly clear there was no appointment at all.

©2022 by Mark Haber","Based on the text, what is notable about Schmidt’s behavior?","Schmidt is only given to theatrical behavior when in the company of the narrator and his first wife.","Schmidt’s absentmindedness regarding his schedule is uncharacteristic of him.","Schmidt’s departure is occasioned by the resumption of a previous disagreement with the narrator’s first wife about a particular painting.","Schmidt conveys his feelings about one of his dining companions without explicitly stating them.","D","4","Choice D is the best answer because it most accurately describes what is notable about Schmidt’s behavior. According to the text, when the narrator’s first wife admits she doesn’t find art particularly compelling, Schmidt responds by wincing, sighing dramatically, and abruptly leaving dinner with an obviously false excuse about a remembered appointment. The narrator makes it clear that there is no actual appointment and that the excuse is merely a pretense. Through these actions—the physical reactions of wincing and sighing, followed by the transparent excuse to leave—Schmidt clearly communicates his disapproval of the wife without directly stating his feelings about her.

Choice A is incorrect because the text provides no evidence that Schmidt’s theatrical behavior—wincing, sighing dramatically, and abruptly leaving dinner—is unique to situations involving the narrator and his first wife. The text describes only one interaction involving Schmidt, so there’s no basis for determining

whether his dramatic reactions are typical of him in all situations or limited to this particular social context. Choice B is incorrect because nothing in the text suggests that Schmidt is typically mindful of his schedule or that forgetting appointments would be uncharacteristic of him. Rather, the text makes it clear that Schmidt hasn’t actually forgotten an appointment at all—the narrator indicates that Schmidt’s reason for leaving is an obvious fabrication, not a genuine instance of absentmindedness. Choice C is incorrect because the text doesn’t mention any previous disagreement between Schmidt and the narrator’s first wife about a particular painting or any other topic. The text presents what appears to be a spontaneous reaction by Schmidt to the wife’s statement about not finding art compelling, not the continuation of an earlier conversation or dispute.","","none","{}","","","","","","Inferences","","import;pdf;section:RW;source:sat-practice-test-11-digital.pdf;page:8;source_question:12;selected_from_overflow"
