"test_id","exam_version","generation_batch_id","target_score_band","question_id","section","module","route","question_number","content_domain","skill_group","skill_code","skill_label","question_topic","difficulty","scoring_weight","question_type","passage","question","choice_a","choice_b","choice_c","choice_d","correct_answer","correct_choice_index","explanation","time_estimate_sec","visual_type","visual_json","table_markdown","equation_latex","student_response_type","correct_numeric_answer","answer_tolerance","primary_skill","secondary_skill","tags"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q01","RW","1","base","1","Craft and Structure","Words in Context","RW_WIC_002","Determine meaning or function of a word/phrase in context","direct_meaning","Easy","1","multiple_choice","When Mara began cataloging the papers in the town archive, she expected the faded shipping ledger to settle a long-running dispute about when the old ferry had closed. One page listed a final payment in October, but a loose receipt tucked behind it carried a November date. The handwriting on the receipt resembled the bookkeeper's, yet the ink was darker than on nearby entries, and the paper bore a watermark not used in the ledger itself. Mara copied both dates into her notes and photographed the marks along the receipt's edge. She decided to reserve judgment about the archive ledger and loose receipt until she could compare those documents with invoices stored in a neighboring county. Her colleague preferred the October date because it appeared in the bound record, but Mara argued that the unexplained receipt could not simply be ignored. By the end of the afternoon, the archive had produced a better question rather than a quick answer.","As used in the text, what does ""reserve"" most nearly mean?","schedule","preserve","withhold","request","C","3","Mara postpones judgment until she can compare the receipt with other documents. Choice C matches that deliberate decision not to reach a conclusion yet; the other choices describe different common uses that do not fit her action.","75","none","{}","","","","","","Words in Context","","rw;arch:RW_WIC_002;sim:rw_words_in_context_purpose_sentence;passage:E001;wic;hard_vocab;wic_arch:WIC_DIRECT_MEANING_01;vocab:HV_018;tier:V3;target:reserve;fp:c610702b7d7a"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q02","RW","1","base","2","Craft and Structure","Words in Context","RW_WIC_009","Determine meaning or function of a word/phrase in context","claim_function","Medium","1","multiple_choice","Marine biologists monitoring a restored reef tracked juvenile coral on ceramic tiles placed at three depths. After six months, the shallowest tiles held more new colonies than untreated control tiles, and several branching species appeared there for the first time since restoration began. The team described coral recruitment on the restored reef as a qualified success. Growth on the deeper tiles remained sparse, and a storm removed many colonies from the most exposed section of the reef. Moreover, the study covered only one warm season, so it could not show whether the new colonies would survive repeated temperature spikes. The researchers therefore recommended keeping the tile design while changing how the structures were anchored and distributed. Their report was positive about the intervention's potential but cautious about treating one favorable set of observations as proof of long-term recovery. Next season, deeper anchors and post-storm surveys will test whether early recruitment develops into stable reef cover.","Which choice best describes the function of ""qualified"" in the passage?","It presents the restoration as unsuccessful despite the appearance of new coral colonies.","It attributes the differences among the tiles entirely to the depths at which they were placed.","It indicates that the researchers regard storm damage as irrelevant to the restoration's outcome.","It limits the positive assessment by pairing encouraging recruitment with evidence of uneven survival and a short study period.","D","4","The report recognizes encouraging recruitment but also emphasizes poor deeper growth, storm losses, and the study's limited duration. Choice D captures how the assessment is narrowed rather than rejected.","75","none","{}","","","","","","Words in Context","","rw;arch:RW_WIC_009;sim:rw_words_in_context_evidence_based_inference;passage:R003;wic;hard_vocab;wic_arch:WIC_CLAIM_FUNCTION_01;vocab:HV_113;tier:V3;target:qualified;fp:bd0b191a9fd3"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q03","RW","1","base","3","Craft and Structure","Words in Context","RW_WIC_011","Determine meaning or function of a word/phrase in context","tonal_effect","Medium","1","multiple_choice","A neighborhood museum replaced several large wall labels with shorter cards beside its textile displays. Visitors spent less time reading each card, but exit interviews showed that they recalled more specific details about how the fabrics were dyed and traded. The curator called the new labels a modest improvement in first-time visitors' experience rather than a transformation. Attendance did not rise, and visitors who already knew the collection well reported little difference in their experience. Still, first-time visitors were more likely to connect a pattern on one cloth with the technique described on another card. The curator resisted presenting the redesign as a universal solution, noting that sculpture galleries might respond differently. Instead, she treated the result as evidence that concise labels can improve some kinds of attention without changing every aspect of a museum visit. For the next exhibition, she planned to keep short labels in two galleries before considering a wider redesign.","Which choice best explains the effect of ""modest"" on the curator's assessment?","It makes the evaluation tentative, suggesting that the curator is unsure whether the measured recall gains actually occurred.","It makes the evaluation restrained, presenting the improvement as limited rather than sweeping.","It shifts attention specifically to first-time visitors, implying that the redesign produced no meaningful change for anyone else.","It characterizes the redesign as temporary, implying that the museum expects to restore the longer labels soon.","B","2","The passage reports real recall gains but also notes no attendance increase, little change for familiar visitors, and a limited next step. Choice B fits that measured assessment; A wrongly questions the findings themselves, while C assigns to the target a group distinction established elsewhere in the passage.","75","none","{}","","","","","","Words in Context","","rw;arch:RW_WIC_011;sim:rw_words_in_context_supporting_detail;passage:E008;wic;hard_vocab;wic_arch:WIC_TONAL_EFFECT_01;vocab:HV_099;tier:V3;target:modest;fp:fa957f361acd"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q04","RW","1","base","4","Craft and Structure","Text Structure and Purpose","RW_TSP_001","Analyze structure or purpose","purpose_sentence","Easy","1","multiple_choice","At the edge of a community greenhouse, Luis kept a row of cracked clay pots that everyone else considered unusable. He had noticed that seedlings in those pots dried faster than seedlings in plastic trays, so he began testing which herbs tolerated the difference. Basil wilted by noon, but thyme and oregano remained firm even on warmer days. The experiment changed how Luis organized the greenhouse. Instead of discarding every damaged pot, he placed drought-tolerant plants in the cracked ones and saved the intact containers for seedlings that needed steadier moisture. Over several weeks, volunteers copied his arrangement and marked the shelves so newcomers would understand it. What began as a practical response to broken equipment became a small lesson in matching a material's limitations to a plant's needs. By spring, the formerly unwanted pots occupied an entire sunny bench, where their defects had become useful information.","What is the main purpose of the first two sentences in the text?","To show that Luis initially chose the cracked pots because they were more attractive than plastic trays","To establish that volunteers had already developed a system for labeling damaged containers","To explain why drought-tolerant herbs generally grow better in clay than in other materials","To introduce a practical problem and an observation that leads Luis to test a new use for the damaged pots","D","4","The opening presents the unwanted cracked pots and Luis's observation that they dry quickly. Those details motivate the herb test that shapes the rest of the passage, so choice D best describes their purpose.","75","none","{}","","","","","","Text Structure and Purpose","","rw;arch:RW_TSP_001;sim:rw_text_structure_and_purpose_purpose_sentence;passage:E016;fp:4b461d703a76"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q05","RW","1","base","5","Craft and Structure","Text Structure and Purpose","RW_TSP_011","Analyze structure or purpose","contrast","Medium","1","multiple_choice","Transit planners studying crowding at a downtown station first counted how many riders entered each platform during five-minute intervals. Those totals suggested that the busiest platform should receive the most staff. <u>Yet video from the same periods showed that brief surges, not the overall number of riders, caused the most severe bottlenecks near the stairs.</u> A platform with fewer riders could become harder to navigate if several trains arrived close together, while a busier platform stayed orderly when arrivals were spread out. The planners therefore added a measure of how unevenly passengers arrived across each interval. When that measure was included, the staffing model identified several trouble spots the original totals had missed. The study did not make passenger counts useless; instead, it showed why a single summary number could conceal the timing pattern that produced congestion. The revised model combined volume with short-term variation.","Which choice best describes the function of the underlined sentence in the text as a whole?","It complicates the initial staffing assumption by showing that the timing of rider arrivals can matter more than total volume for bottlenecks.","It provides evidence that the busiest platform consistently has the fewest problems near its stairs.","It explains why the planners stopped counting riders and relied only on video observations.","It introduces a second station whose staffing needs are unrelated to the planners' original model.","A","1","The initial totals point toward staffing the busiest platform, but the underlined sentence reveals that short surges are the stronger cause of severe bottlenecks. Choice A identifies that challenge to the initial assumption and sets up the revised model.","75","none","{}","","","","","","Text Structure and Purpose","","rw;arch:RW_TSP_011;sim:rw_text_structure_and_purpose_contrast;passage:R009;underline;fp:f6cd35f884d5"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q06","RW","1","base","6","Craft and Structure","Text Structure and Purpose","RW_TSP_012","Analyze structure or purpose","cause_effect","Medium","1","multiple_choice","Nora reached the inn after dusk and found the front room empty except for a lamp burning beside an open guest book. A wet umbrella leaned against the wall, though no rain had fallen since morning. She called toward the kitchen and heard a chair scrape somewhere above her. At first, these details made the inn seem carelessly abandoned. Then she noticed a plate still warm on the hearth and a line of muddy footprints leading from the back door to the stairs. The marks were small and closely spaced, unlike the boot prints outside the stable. Nora stopped calling and listened. A floorboard creaked overhead, followed by the soft thump of something being dragged. The room had not been left empty by accident, she decided; someone had interrupted an ordinary evening and moved upstairs in a hurry. Her attention shifted from the absent innkeeper to the unexplained activity above.","Which choice best describes the overall structure of the text?","It accumulates unsettling details to create suspense while leaving Nora's original interpretation of the empty room unchanged.","It presents Nora's suspicion that someone is upstairs and then identifies that person through direct dialogue.","It contrasts clues inside the inn with outdoor evidence mainly to determine whether recent weather caused the muddy footprints.","It moves from Nora's initial interpretation of the empty room to a revised inference after she notices additional signs of recent activity.","D","4","Nora first reads the room as carelessly abandoned, then the warm plate, footprints, and upstairs sounds lead her to infer that an ordinary evening was interrupted. Choice D captures that structural shift. A overlooks the explicit revision, while C overweights the weather and footprint details instead of the passage's broader movement.","75","none","{}","","","","","","Text Structure and Purpose","","rw;arch:RW_TSP_012;sim:rw_text_structure_and_purpose_cause_effect;passage:E026;fp:de0eee975186"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q07","RW","1","base","7","Craft and Structure","Cross-Text Connections","RW_CTC_006","Compare claims across paired texts","paired_text_relation","Medium","1","multiple_choice","Text 1:
Young songbirds exposed to several adult tutors often develop larger repertoires than birds raised with only one tutor. A wider set of examples gives juveniles more syllable patterns to imitate and combine. For species in which local song traditions change gradually, preserving a variety of adult singers may therefore help maintain vocal diversity in the next generation.

Text 2:
Tutor variety can matter, but exposure is not equally useful throughout development. In one breeding colony, juveniles heard many adult songs after leaving the nest, yet birds that had heard few songs during an earlier sensitive period still produced limited repertoires. Increasing the number of tutors later did not fully compensate for sparse early exposure, suggesting that timing constrains the benefit of variety.","Based on the texts, how would the author of Text 2 most likely respond to the claim in Text 1 that exposure to several tutors can help maintain vocal diversity?","By rejecting the claim because juveniles cannot learn any new song patterns after leaving the nest","By agreeing only if all adult tutors sing exactly the same local repertoire","By qualifying the claim, arguing that tutor variety is most beneficial when sufficient exposure occurs during an earlier sensitive period","By accepting the claim and adding that the number of tutors matters more than the timing of exposure","C","3","Text 2 accepts that tutor variety can matter but shows that later variety did not compensate for sparse exposure during an earlier sensitive period. Choice C therefore captures Text 2's qualification of Text 1.","60","none","{}","","","","","","Cross-Text Connections","","rw;arch:RW_CTC_006;sim:rw_cross_text_connections_paired_text_relation;passage:R006;fp:2124b4130e7f"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q08","RW","1","base","8","Information and Ideas","Central Ideas and Details","RW_CID_001","Identify main idea, key detail, or summary","main_claim","Easy","1","multiple_choice","A city team recorded afternoon temperatures on six blocks. The blocks differed in tree cover, pavement width, and the height of nearby buildings. The coolest sidewalks were usually those beneath mature tree canopies, but shade alone did not explain every reading. A narrow street with moderate tree cover stayed nearly as cool as a heavily planted boulevard because its taller buildings blocked direct sun late in the day. By contrast, a wide plaza with several young trees remained hot because the small crowns covered little pavement. The researchers concluded that urban cooling plans should consider how tree age, street geometry, and existing building shade work together. Planting more trees could still lower heat exposure, but counting trunks without considering where and how much shade they produce may overstate a project's likely effect. The study therefore treats canopy as one part of a larger street-level system rather than as a single independent solution.","Which choice best states the main idea of the text?","Tree planting can reduce street heat, but its effect depends on canopy size and how tree shade interacts with street and building geometry.","Building height is the only reliable predictor of afternoon sidewalk temperature in cities.","Young trees cool wide plazas more effectively than mature trees cool narrow streets.","Urban cooling projects should replace tree planting with changes to pavement width whenever possible.","A","1","The study finds cooler conditions under mature canopies but also shows that building shade and street geometry affect temperatures. Choice A captures the passage's central point that cooling depends on interacting features rather than tree counts alone.","75","none","{}","","","","","","Central Ideas and Details","","rw;arch:RW_CID_001;sim:rw_central_ideas_and_details_main_claim;passage:R001;fp:4e860b8fe58c"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q09","RW","1","base","9","Information and Ideas","Central Ideas and Details","RW_CID_003","Identify main idea, key detail, or summary","contrast","Medium","1","multiple_choice","Elena volunteered to repaint the reading room in a small rural school and arrived with a sketch for bright blue walls and white shelves. Once she began moving the furniture, however, she found pencil marks hidden behind a cabinet: dates, initials, and tiny measurements of children's heights stretching back decades. The marks were uneven and sometimes hard to read, but Elena abandoned her plan to cover the wall completely. She painted around the narrow strip, framed it with a simple border, and asked older residents whether they recognized any names. Their stories turned the marks into a record of families who had used the room across generations. The finished room looked less uniform than Elena had imagined, yet she preferred it that way. By adapting her design to preserve the old measurements, she made the renovation acknowledge the room's history instead of erasing evidence that had first seemed like damage.","Which choice best describes the significance of Elena's discovery of the pencil marks?","It convinces Elena that the school should stop using the reading room until the wall can be professionally repaired.","It confirms Elena's belief that the room needs a more uniform design than she originally planned.","It leads Elena to ask residents to replace the old measurements with a new record of current students.","It changes Elena's renovation from a purely visual redesign into one that preserves evidence of the room's community history.","D","4","Elena initially plans to repaint the wall completely, but the hidden marks and residents' stories lead her to preserve and frame them. Choice D identifies how the discovery changes the meaning and direction of the renovation.","75","none","{}","","","","","","Central Ideas and Details","","rw;arch:RW_CID_003;sim:rw_central_ideas_and_details_contrast;passage:E017;fp:dd7bdc971ced"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q10","RW","1","base","10","Information and Ideas","Command of Evidence","RW_COE_001","Use textual or quantitative evidence","supporting_detail","Medium","1","multiple_choice","Engineers testing a microplastic filter for storm drains were concerned that sudden bursts of water might force particles around the filter's edges. They built two channels with identical mesh screens but different frames: one held the mesh flat against the channel wall, while the other curved the mesh inward and sealed it along a flexible rim. During steady flow, both designs captured similar amounts of plastic fragments. During short high-flow pulses, however, the curved, sealed frame released far fewer particles downstream. Cameras showed water lifting the corners of the flat screen during those pulses, creating temporary gaps. The engineers argued that preventing edge bypass, rather than using a finer mesh alone, was crucial to maintaining filtration during storms. They planned a longer field trial to see whether the flexible rim would remain effective after repeated exposure to grit, leaves, and changing water pressure.","Which finding from the text most directly supports the engineers' claim that preventing edge bypass is crucial to maintaining filtration during storms?","Under steady flow, the flat and curved filter designs captured similar amounts of plastic fragments.","During high-flow pulses, the sealed curved frame released fewer particles downstream while cameras showed the flat screen's corners lifting and creating gaps.","The engineers planned to test whether leaves and grit would affect the flexible rim during a longer field trial.","Both filter designs used mesh screens intended to capture plastic fragments from storm-drain water.","B","2","Choice B reports both the reduced downstream particle release with the sealed frame and the observed gaps around the flat screen during high flow. Those measurements directly link edge bypass to poorer filtration under storm-like conditions.","75","none","{}","","","","","","Command of Evidence","","rw;arch:RW_COE_001;sim:rw_command_of_evidence_supporting_detail;passage:R005;fp:fff929b21d35"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q11","RW","1","base","11","Information and Ideas","Command of Evidence","RW_COE_011","Use textual or quantitative evidence","evidence_based_inference","Medium","1","multiple_choice","When Mira's younger brother asked whether the family could still afford his music lessons, she answered before their mother could speak. She joked that the old piano needed someone stubborn enough to keep it awake and reminded him that his recital piece was nearly finished. Later, after he left the room, Mira opened the stack of household bills and copied several amounts into a notebook. She crossed out a plan to buy new shoes and wrote a smaller figure beside the grocery total. At dinner she steered the conversation toward school and did not mention the notebook. Her mother noticed the change and quietly moved the bills from Mira's place at the table. The scene suggests that Mira is worried about the family's finances but tries to shield her brother from that worry. Her behavior combines cheerful reassurance in his presence with private attention to costs once he is gone.","Which detail from the text most directly supports the claim that Mira tries to keep her brother from sharing her financial concern?","Mira's mother moves the bills away from Mira's place at the dinner table.","Mira cheerfully reassures her brother about his lessons, then studies bills and cuts her own planned spending only after he leaves.","Mira reminds her brother that his recital piece is nearly finished.","Mira copies several amounts from the household bills into a notebook.","B","2","Choice B combines Mira's reassuring behavior in her brother's presence with her private cost-cutting afterward. That contrast is the clearest evidence that she is worried yet tries not to pass that worry to him.","75","none","{}","","","","","","Command of Evidence","","rw;arch:RW_COE_011;sim:rw_command_of_evidence_evidence_based_inference;passage:E023;fp:3b0e46c0eaed"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q12","RW","1","base","12","Information and Ideas","Inferences","RW_INF_010","Draw supported conclusions","evidence_based_inference","Easy","1","multiple_choice","For several evenings, a young jackal approached the edge of the camp only after the cooking fires had burned low. It ignored scraps tossed toward it while people were talking, but returned later to inspect the ground once the camp had quieted. One night, a metal cup rolled from a crate and struck a stone. The jackal froze, backed into the grass, and waited until the sound stopped before moving forward again. The next evening it circled the same area from farther away, pausing whenever someone shifted near the tents. Although hunger repeatedly drew it toward the camp, it never rushed directly toward the food. Instead, it advanced in short stages, using darkness and stillness as cover. Its repeated retreats did not keep it away permanently; they changed when and how it approached. The animal's pattern suggests a balance between attraction to an easy food source and caution about unpredictable human activity.","Which choice most logically follows from the text?","The jackal's caution changes the conditions under which it approaches food rather than eliminating its attraction to the camp.","The jackal has learned that metal objects in the camp are a reliable source of food.","The jackal avoids the camp mainly because it cannot see well after dark.","The jackal becomes progressively less interested in food each time it hears a human-made sound.","A","1","The jackal repeatedly returns for food but approaches in stages and retreats after disturbances. Choice A accounts for both patterns: attraction persists, while caution affects timing and method.","75","none","{}","","","","","","Inferences","","rw;arch:RW_INF_010;sim:rw_inferences_evidence_based_inference;passage:E022;fp:ac4d31c7ea40"
"SAT_RW_13","split_batch_v9","13-front","400-800","RW13-M1-Q13","RW","1","base","13","Information and Ideas","Inferences","RW_INF_002","Draw supported conclusions","cause_effect","Medium","1","multiple_choice","Archaeologists comparing pottery from settlements along an ancient river found that many vessels shared a distinctive red slip, but the clay beneath that surface varied by location. Chemical analysis showed that most pots were made from local clay rather than transported whole from one production center. Decorative techniques, however, appeared in clusters that followed the river more closely than the distribution of clay sources did. At upstream sites, a combed pattern appeared first on locally made bowls; a generation later, the same technique appeared downstream on vessels made from different clays. The researchers proposed that potters or their methods traveled between communities even when the finished vessels usually did not. Because the river linked the settlements more directly than overland paths did, the sequence of designs is consistent with knowledge moving along that route. The evidence points to exchange of practice rather than simple shipment of identical goods.","Which choice is best supported by the text?","Most pottery was manufactured at one upstream settlement and then shipped downstream as finished vessels.","The shared red slip proves that all settlements obtained their clay from the same source.","Pottery-making techniques likely moved among river communities even though most vessels were produced from local clay.","Overland paths were probably more important than the river in spreading decorative practices.","C","3","Chemical analysis indicates local clay use, while decorative techniques appear sequentially along the river across vessels made from different clays. Choice C best fits this combination, pointing to movement of knowledge or potters rather than wholesale shipment of finished pots.","75","none","{}","","","","","","Inferences","","rw;arch:RW_INF_002;sim:rw_inferences_cause_effect;passage:R013;fp:1198b218b754"
